Order_Date,Ship_Date,Ship_Mode,Postal_Code,Region,Product_Reference,Category,Sub_Category,Sales,Quantity,Profit,State
2021-02-15,2021-02-20,Ground,44104,Midwest,OFF-TAP-10022901,Office Supplies,Tape,5,1,0.15,OH
2021-02-15,2021-02-20,Ground,44104,Midwest,OFF-TAP-10023012,Office Supplies,Tape,5,1,0.15,OH
2021-02-15,2021-02-20,Ground,44104,Midwest,OFF-TAP-10002828,Office Supplies,Tape,5,1,0.15,OH
2021-02-15,2021-02-20,Ground,44104,Midwest,OFF-TAP-10022901,Office Supplies,Tape,5,1,0.15,OH
2021-02-15,2021-02-20,Ground,44104,Midwest,OFF-TAP-10000482,Office Supplies,Tape,5,1,0.15,OH
2021-03-10,2021-03-15,Air,75201,South,FUR-CH-10000454,Electronics,Phones,500,2,10,TX
2021-03-10,2021-03-15,Air,75201,South,FUR-CH-10000454,Electronics,Phones,500,2,10,TX
2021-03-10,2021-03-15,Air,75201,South,FUR-CH-10000454,Furniture,Chairs,500,2,10,TX
2021-03-10,2021-03-15,Air,75201,South,FUR-CH-10000454,Furniture,Chairs,500,2,10,TX
2021-03-10,2021-03-15,Air,75201,South,FUR-CH-10000454,Electronics,Phones,500,2,10,TX
2021-03-10,2021-03-15,Air,75201,South,FUR-CH-10000454,Electronics,Phones,500,2,10,TX
2021-04-06,2021-04-11,Air,33102,South,FUR-SOF-10009567,Furniture,Sofas,700,3,14,FL
2021-04-06,2021-04-11,Air,33102,South,FUR-SOF-10009567,Furniture,Sofas,700,3,14,FL
2021-04-06,2021-04-11,Air,33102,South,FUR-SOF-10001414,Furniture,Sofas,700,3,14,FL
2021-04-06,2021-04-11,Air,33102,South,FUR-SOF-10016578,Furniture,Sofas,700,3,14,FL
2021-04-06,2021-04-11,Air,33102,South,FUR-SOF-10009567,Furniture,Sofas,700,3,14,FL
2021-04-06,2021-04-11,Air,33102,South,FUR-SOF-10000468,Furniture,Sofas,700,3,14,FL
2021-05-03,2021-05-08,Air,75205,South,FUR-CHA-10023012,Furniture,Chairs,200,3,4,TX
2021-05-03,2021-05-08,Air,75205,South,FUR-CHA-10024123,Furniture,Chairs,200,3,4,TX
2021-05-03,2021-05-08,Air,75205,South,FUR-CHA-10002929,Furniture,Chairs,200,3,4,TX
2021-05-03,2021-05-08,Air,75205,South,FUR-CHA-10023012,Furniture,Chairs,200,3,4,TX
2021-05-03,2021-05-08,Air,75205,South,FUR-CHA-10000483,Furniture,Chairs,200,3,4,TX
2021-05-22,2021-05-28,Ground,30301,South,OFF-PAP-10001234,Office Supplies,Paper,100,1,2,GA
2021-05-22,2021-05-28,Ground,30301,South,OFF-PAP-10001234,Office Supplies,Paper,100,1,2,GA
2021-05-22,2021-05-28,Ground,30301,South,OFF-PAP-10001111,Office Supplies,Paper,100,1,2,GA
2021-05-22,2021-05-28,Ground,30301,South,OFF-PAP-10001578,Office Supplies,Paper,100,1,2,GA
2021-05-22,2021-05-28,Ground,30301,South,OFF-PAP-10001234,Office Supplies,Paper,100,1,2,GA
2021-05-22,2021-05-28,Ground,30301,South,OFF-PAP-10000455,Office Supplies,Paper,100,1,2,GA
2021-06-25,2021-06-30,Ground,84102,West,ELE-TAB-10010678,Electronics,Tablets,450,2,9,UT
2021-06-25,2021-06-30,Ground,84102,West,ELE-TAB-10010678,Electronics,Tablets,450,2,9,UT
2021-06-25,2021-06-30,Ground,84102,West,ELE-TAB-10001515,Electronics,Tablets,450,2,9,UT
2021-06-25,2021-06-30,Ground,84102,West,ELE-TAB-10017689,Electronics,Tablets,450,2,9,UT
2021-06-25,2021-06-30,Ground,84102,West,ELE-TAB-10010678,Electronics,Tablets,450,2,9,UT
